TractID,Lat,Long,Total_2018Pop,SeriesInt,SeriesComp,parish,pfips,ldhh,FID,x,y
22019001201,30.186518,-93.19709,5048,1211,1072,Calcasieu,22019,5,228,-10374652.602214888,3527547.5944126975
22019001202,30.187071,-93.184357,3236,623,550,Calcasieu,22019,5,229,-10373235.171138618,3527618.8118348173
22019001300,30.159435,-93.221085,6494,2387,2176,Calcasieu,22019,5,230,-10377323.713396473,3524060.2327864957
22019001400,30.270399,-93.161636,5474,1710,1537,Calcasieu,22019,5,231,-10370705.880988304,3538354.681301324
22019001500,30.236151,-93.180458,1639,523,472,Calcasieu,22019,5,232,-10372801.136444014,3533941.1128728855
22019001600,30.223726,-93.15274,4794,933,835,Calcasieu,22019,5,233,-10369715.582798207,3532340.2729209606
22019001700,30.120895,-93.169357,9848,2422,2213,Calcasieu,22019,5,234,-10371565.37877672,3519099.253276198
22019001801,30.107653,-93.273933,10986,3511,3238,Calcasieu,22019,5,235,-10383206.725845916,3517395.151977207
22019001901,30.194431,-93.258766,3669,1599,1477,Calcasieu,22019,5,236,-10381518.343129054,3528566.6984252622
22019001903,30.158293,-93.242851,6618,2230,2060,Calcasieu,22019,5,237,-10379746.69343308,3523913.2034022533
22019001904,30.176041,-93.262085,5893,2563,2325,Calcasieu,22019,5,238,-10381887.812518997,3526198.4024399463
22019002000,30.177963,-93.047508,10392,2108,1889,Calcasieu,22019,5,239,-10358001.210143048,3526445.9002339225
22019002100,30.233381,-93.013474,3254,534,487,Calcasieu,22019,5,240,-10354212.562593391,3533584.2078916826
22019002201,30.356184,-93.200333,8694,2189,2032,Calcasieu,22019,5,241,-10375013.61132353,3549416.631952338
22019002203,30.31399,-93.221893,6739,1690,1538,Calcasieu,22019,5,242,-10377413.659545032,3543974.5178819867
22019002204,30.299114,-93.197128,5295,1347,1224,Calcasieu,22019,5,243,-10374656.83235554,3542056.3942268714
22019002300,30.354233,-93.40329,2847,753,687,Calcasieu,22019,5,244,-10397606.681216462,3549164.943389559
22019002400,30.449249,-93.435326,6118,995,873,Calcasieu,22019,5,245,-10401172.912423516,3561428.312346023
22019002500,30.273104,-93.244057,3744,1000,926,Calcasieu,22019,5,246,-10379880.944738977,3538703.3425037395
22019002600,30.252916,-93.258354,4735,1155,1059,Calcasieu,22019,5,247,-10381472.479498846,3536101.440200258
22019002700,30.262526,-93.409111,7572,1660,1486,Calcasieu,22019,5,248,-10398254.671972368,3537339.9449737696
22019002800,30.242067,-93.376488,4143,689,628,Calcasieu,22019,5,249,-10394623.09622422,3534703.4028223255
22019002900,30.226765,-93.383911,2278,464,419,Calcasieu,22019,5,250,-10395449.420804378,3532731.7997158533
22019003000,30.226429,-93.363762,4630,1188,1058,Calcasieu,22019,5,251,-10393206.444384385,3532688.5108672203
22019003101,30.225813,-93.337387,4892,1636,1516,Calcasieu,22019,5,252,-10390270.392814713,3532609.1483622063
22019003102,30.230654,-93.31778,2314,813,762,Calcasieu,22019,5,253,-10388087.751558729,3533232.8531356286
22019003200,30.119473,-93.378532,1952,439,396,Calcasieu,22019,5,254,-10394850.633263402,3518916.2464013905
22019003300,30.179039,-93.370636,5034,1021,929,Calcasieu,22019,5,255,-10393971.654564098,3526584.4598997687
22019003400,30.12693,-93.553131,5887,1183,1098,Calcasieu,22019,5,256,-10414286.905036416,3519875.9678967493
22019003500,30.197393,-93.579414,3413,686,633,Calcasieu,22019,5,257,-10417212.715212936,3528948.19125614
22019003600,30.290194,-93.628586,4253,634,597,Calcasieu,22019,5,258,-10422686.517214222,3540906.3816674748
22019980000,30.208824,-93.143547,0,,,Calcasieu,22019,5,259,-10368692.222719343,3530420.562409063
22019980100,30.123703,-93.220161,0,,,Calcasieu,22019,5,260,-10377220.85418698,3519460.641679985
22021000100,32.128319,-92.000343,2651,551,530,Caldwell,22021,8,261,-10241431.33556651,3780166.3010866484
22021000200,32.115841,-92.220139,2911,496,455,Caldwell,22021,8,262,-10265898.91436491,3778526.1822916716
22021000300,31.994879,-92.086975,4434,709,653,Caldwell,22021,8,263,-10251075.165692912,3762638.4350871155
22023970100,29.862074,-92.925514,5070,982,917,Cameron,22023,5,264,-10344420.900183214,3485833.0339886458
22023970201,29.88978,-93.584045,1798,435,406,Cameron,22023,5,265,-10417728.2357748,3489389.943360487
22023990000,29.689611,-93.243378,0,,,Cameron,22023,5,266,-10379805.358804729,3463714.3010429516
22025000100,31.80175,-91.804176,4719,595,546,Catahoula,22025,6,267,-10219594.125016067,3737315.27453169
22025000200,31.612137,-91.843246,2143,661,607,Catahoula,22025,6,268,-10223943.377521358,3712504.5739354095
22025000300,31.477676,-91.907341,3031,617,574,Catahoula,22025,6,269,-10231078.400283754,3694941.0883740275
22027950100,32.863361,-92.860085,3147,866,789,Claiborne,22027,7,270,-10337137.377220102,3877181.433943934
22027950200,32.891529,-93.108009,4205,614,578,Claiborne,22027,7,271,-10364736.150655532,3880915.087112046
22027950300,32.975002,-93.134041,2796,605,570,Claiborne,22027,7,272,-10367634.019639863,3891986.3668633844
22027950400,32.782291,-93.061111,3251,763,678,Claiborne,22027,7,67,-10359515.48917631,3866442.260149459
22027950500,32.664955,-93.030472,2754,613,542,Claiborne,22027,7,173,-10356104.771297896,3850916.318488874
22029000100,31.68042,-91.55983,2104,530,486,Concordia,22029,6,181,-10192393.652718693,3721433.5049655903
22029000200,31.625351,-91.571358,5418,1063,939,Concordia,22029,6,189,-10193676.94380856,3714231.972572185
22029000300,31.565659,-91.508736,4002,725,637,Concordia,22029,6,373,-10186705.894656101,3706430.6895188414
22029000400,31.574221,-91.43486,4191,1164,1041,Concordia,22029,6,548,-10178482.055954259,3707549.3697455046
22029000500,31.3612,-91.676277,4306,665,633,Concordia,22029,6,553,-10205356.473463098,3679747.219061131
22031950100,32.242279,-93.751198,10469,2310,2142,De Soto,22031,7,559,-10436335.622619368,3795155.6964232656
22031950200,32.092167,-93.954201,4137,667,616,De Soto,22031,7,629,-10458933.813208874,3775415.0679031475
22031950300,32.070156,-93.614021,2889,676,622,De Soto,22031,7,633,-10421065.148830818,3772523.2194644525
22031950400,32.051701,-93.724922,2940,765,692,De Soto,22031,7,638,-10433410.591679284,3770099.101748611
22031950500,31.971491,-93.728653,1975,503,466,De Soto,22031,7,643,-10433825.924699433,3759568.959376462
22031950600,32.007614,-93.661232,2714,654,601,De Soto,22031,7,648,-10426320.65331066,3764310.124463664
22031950700,31.917665,-93.727119,2092,523,479,De Soto,22031,7,653,-10433655.160600556,3752507.72473516
22033000100,30.504429,-91.160919,1764,350,323,East Baton Rouge,22033,2,658,-10147987.08332686,3568555.6803601873
22033000200,30.498356,-91.137726,6207,1807,1636,East Baton Rouge,22033,2,663,-10145405.25037689,3567771.058648526
22033000300,30.49412,-91.162262,1630,466,417,East Baton Rouge,22033,2,668,-10148136.585402993,3567223.803345689
22033000400,30.492685,-91.148567,2696,821,751,East Baton Rouge,22033,2,673,-10146612.064976579,3567038.4189095115
22033000500,30.479147,-91.162704,3766,942,829,East Baton Rouge,22033,2,678,-10148185.788617924,3565289.6095526465
22033000601,30.48303,-91.148651,2796,909,820,East Baton Rouge,22033,2,770,-10146621.415813806,3565791.182156915
22033000602,30.472036,-91.148155,4388,1462,1335,East Baton Rouge,22033,2,773,-10146566.201346371,3564371.1234835973
22033000701,30.483507,-91.129181,2314,553,484,East Baton Rouge,22033,2,777,-10144454.02532806,3565852.7983017764
22033000702,30.475029,-91.125931,3240,1046,970,East Baton Rouge,22033,2,781,-10144092.236982983,3564757.703524398
22033000900,30.461876,-91.161339,3797,1304,1188,East Baton Rouge,22033,2,785,-10148033.83751299,3563058.932373639
22033001000,30.459555,-91.147285,3442,1067,967,East Baton Rouge,22033,2,789,-10146469.35338938,3562759.1882347455
22033001102,30.461426,-91.108963,3464,1038,939,East Baton Rouge,22033,2,793,-10142203.367863202,3563000.816838195
22033001103,30.460592,-91.13382,3328,890,811,East Baton Rouge,22033,2,797,-10144970.43644585,3562893.1100889724
22033001104,30.460154,-91.121674,4661,914,732,East Baton Rouge,22033,2,801,-10143618.349910675,3562836.5450431895
22033001600,30.445778,-91.160675,3318,1583,1484,East Baton Rouge,22033,2,802,-10147959.921371104,3560980.1128791934
22033001700,30.442326,-91.145691,5572,2656,2416,East Baton Rouge,22033,2,803,-10146291.910121057,3560534.382651584
22033001800,30.448124,-91.125404,2405,1030,960,East Baton Rouge,22033,2,804,-10144033.571611334,3561283.042836333
22033001900,30.439981,-91.124428,2760,1513,1412,East Baton Rouge,22033,2,805,-10143924.92378832,3560231.5998275625
22033002000,30.440615,-91.098915,3419,2025,1916,East Baton Rouge,22033,2,806,-10141084.829619711,3560313.460222464
22033002200,30.435791,-91.174011,1394,438,395,East Baton Rouge,22033,2,807,-10149444.478100322,3559690.6115464875
